experiment_num,results_dir,model_type,model,normal_label,training_data_feed,scaling_type,ann_layer_units,ann_layer_activations,ann_layer_dropout_rates,epochs,early_stop_patience,batch_size,training_set,dataset_dir,description
#9,results_additional_exps/ann_depth_nsl_layers_9,classifier,ann,normal,preload,NA,"700,600,500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_9
#10,results_additional_exps/ann_depth_nsl_layers_10,classifier,ann,normal,preload,NA,"800,700,600,500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_10
11,results_additional_exps/ann_depth_nsl_layers_21,classifier,ann,normal,preload,NA,"1000,500,200,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_21
12,results_additional_exps/ann_depth_nsl_layers_22,classifier,ann,normal,preload,NA,"2000,1000,500,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_22
13,results_additional_exps/ann_depth_nsl_layers_23,classifier,ann,normal,preload,NA,"3000,1500,500,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/nsl_kdd_five_classes,ann_depth_nsl_layers_23
#,,,,,,,,,,,,,,,
#  Deep ANN on IDS 2017,,,,,,,,,,,,,,,
#1,results_additional_exps/ann_depth_ids17_layers_1,classifier,ann,BENIGN,preload,NA,"16,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_1
#2,results_additional_exps/ann_depth_ids17_layers_2,classifier,ann,BENIGN,preload,NA,"32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_2
#3,results_additional_exps/ann_depth_ids17_layers_3,classifier,ann,BENIGN,preload,NA,"64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_3
#4,results_additional_exps/ann_depth_ids17_layers_4,classifier,ann,BENIGN,preload,NA,"128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_4
#5,results_additional_exps/ann_depth_ids17_layers_5,classifier,ann,BENIGN,preload,NA,"256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_5
#6,results_additional_exps/ann_depth_ids17_layers_6,classifier,ann,BENIGN,preload,NA,"400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_6
#7,results_additional_exps/ann_depth_ids17_layers_7,classifier,ann,BENIGN,preload,NA,"500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_7
#8,results_additional_exps/ann_depth_ids17_layers_8,classifier,ann,BENIGN,preload,NA,"600,500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_8
#9,results_additional_exps/ann_depth_ids17_layers_9,classifier,ann,BENIGN,preload,NA,"700,600,500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_9
#10,results_additional_exps/ann_depth_ids17_layers_10,classifier,ann,BENIGN,preload,NA,"800,700,600,500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_layers_10
#11,results_additional_exps/ann_depth_ids17_shallow_21,classifier,ann,BENIGN,preload,NA,"1000,500,200,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_shallow_21
#12,results_additional_exps/ann_depth_ids17_shallow_22,classifier,ann,BENIGN,preload,NA,"2000,1000,500,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_shallow_22
#13,results_additional_exps/ann_depth_ids17_shallow_23,classifier,ann,BENIGN,preload,NA,"3000,1500,500,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/full_datasets/ids2017,ann_depth_ids17_shallow_23
#,,,,,,,,,,,,,,,
#  Deep ANN on IDS 2018,,,,,,,,,,,,,,,
#1,results_additional_exps/ann_depth_ids18_subset_layers_1,classifier,ann,BENIGN,preload,NA,"16,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_1
#2,results_additional_exps/ann_depth_ids18_subset_layers_2,classifier,ann,BENIGN,preload,NA,"32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_2
#3,results_additional_exps/ann_depth_ids18_subset_layers_3,classifier,ann,BENIGN,preload,NA,"64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_3
#4,results_additional_exps/ann_depth_ids18_subset_layers_4,classifier,ann,BENIGN,preload,NA,"128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_4
#5,results_additional_exps/ann_depth_ids18_subset_layers_5,classifier,ann,BENIGN,preload,NA,"256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_5
#6,results_additional_exps/ann_depth_ids18_subset_layers_6,classifier,ann,BENIGN,preload,NA,"400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_6
#7,results_additional_exps/ann_depth_ids18_subset_layers_7,classifier,ann,BENIGN,preload,NA,"500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_7
#8,results_additional_exps/ann_depth_ids18_subset_layers_8,classifier,ann,BENIGN,preload,NA,"600,500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_8
#9,results_additional_exps/ann_depth_ids18_subset_layers_9,classifier,ann,BENIGN,preload,NA,"700,600,500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_9
#10,results_additional_exps/ann_depth_ids18_subset_layers_10,classifier,ann,BENIGN,preload,NA,"800,700,600,500,400,256,128,64,32,16","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_layers_10
#11,results_additional_exps/ann_depth_ids18_subset_shallow_21,classifier,ann,BENIGN,preload,NA,"1000,500,200,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_shallow_21
#12,results_additional_exps/ann_depth_ids18_subset_shallow_22,classifier,ann,BENIGN,preload,NA,"2000,1000,500,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_shallow_21
#13,results_additional_exps/ann_depth_ids18_subset_shallow_23,classifier,ann,BENIGN,preload,NA,"3000,1500,500,","relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu,relu","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2",200,50,256,train_set_only,../Datasets/small_datasets/ids2018,ann_depth_ids18_subset_shallow_21
